Trip_ID,From,To,Distance_KM,Bus_Type,Seats,Fuel_Price,Fuel_Average_KM_L,Fuel_Consumed_Liters,Fuel_Cost_Complete_Trip,Toll_Plaza,Police_Challan,Maintenance,Other_Expense,Driver_Helper_Fee,Total_Trip_Cost,Booking_Price,Profit
TRP00001,Wah Cantt,Rahim Yar Khan,182,Non-AC,72,307.79,4.0,45.5,14004.45,637.0,0,364.0,1500,2292.42,16505.45,22924.24,6418.79
TRP00002,Okara,Chowk Munda,350,Non-AC,72,303.92,4.0,87.5,26593.0,1225.0,0,700.0,1500,4169.17,30018.0,41691.67,11673.67
TRP00003,Khushab,Gujrat,100,Non-AC,72,269.36,4.0,25.0,6734.0,350.0,0,200.0,1500,1220.0,8784.0,12200.0,3416.0
TRP00004,Jhang,Okara,546,Non-AC,72,266.0,4.0,136.5,36309.0,1911.0,0,1092.0,1500,5668.33,40812.0,56683.33,15871.33
TRP00005,Toba Tek Singh,Rangpur,538,Non-AC,72,311.97,4.0,134.5,41959.97,1883.0,0,1076.0,1500,6447.08,46418.97,64470.79,18051.82
TRP00006,Rawalpindi,Hafizabad,179,Non-AC,72,268.57,4.0,44.75,12018.51,626.5,0,358.0,1500,2014.31,14503.01,20143.07,5640.06
TRP00007,Chowk Munda,Faisalabad,250,Non-AC,72,299.05,4.0,62.5,18690.62,875.0,0,500.0,1500,2995.23,21565.62,29952.25,8386.63
TRP00008,Hafizabad,Pakpattan,388,Non-AC,72,318.19,4.0,97.0,30864.43,1358.0,0,776.0,1500,4791.45,34498.43,47914.49,13416.06
TRP00009,Sialkot,Mandi Bahauddin,571,Non-AC,72,316.31,4.0,142.75,45153.25,1998.5,0,1142.0,1500,6915.8,49793.75,69157.99,19364.24
TRP00010,Sialkot,Khushab,465,Non-AC,72,270.91,4.0,116.25,31493.29,1627.5,0,930.0,1500,4937.61,35550.79,49376.1,13825.31
TRP00011,Rahim Yar Khan,Dera Ghazi Khan,356,Non-AC,72,297.05,4.0,89.0,26437.45,1246.0,0,712.0,1500,4152.15,29895.45,41521.46,11626.01
TRP00012,Nankana Sahib,Sahiwal,393,Non-AC,72,291.49,4.0,98.25,28638.89,1375.5,0,786.0,1500,4486.16,32300.39,44861.65,12561.26
TRP00013,Narowal,Rajanpur,554,Non-AC,72,296.71,4.0,138.5,41094.33,1939.0,0,1108.0,1500,6339.07,45641.33,63390.74,17749.41
TRP00014,Khanewal,Sargodha,555,Non-AC,72,318.43,4.0,138.75,44182.16,1942.5,0,1110.0,1500,6768.7,48734.66,67687.03,18952.37
TRP00015,Dera Ghazi Khan,Hafizabad,269,Non-AC,72,265.44,4.0,67.25,17850.84,941.5,0,538.0,1500,2893.1,20830.34,28931.03,8100.69
TRP00016,Sahiwal,Hafizabad,323,Non-AC,72,295.54,4.0,80.75,23864.86,1130.5,0,646.0,1500,3769.63,27141.36,37696.33,10554.97
TRP00017,Sialkot,Okara,210,Non-AC,72,311.6,4.0,52.5,16359.0,735.0,0,420.0,1500,2640.83,19014.0,26408.33,7394.33
TRP00018,Layyah,Pakpattan,100,Non-AC,72,287.03,4.0,25.0,7175.75,350.0,0,200.0,1500,1281.35,9225.75,12813.54,3587.79
TRP00019,Bahawalnagar,Toba Tek Singh,353,Non-AC,72,316.93,4.0,88.25,27969.07,1235.5,0,706.0,1500,4362.58,31410.57,43625.79,12215.22
TRP00020,Jhang,Sialkot,395,Non-AC,72,293.8,4.0,98.75,29012.75,1382.5,0,790.0,1500,4539.62,32685.25,45396.18,12710.93
TRP00021,Gujrat,Kot Addu,425,Non-AC,72,265.86,4.0,106.25,28247.62,1487.5,0,850.0,1500,4456.27,32085.12,44562.67,12477.55
TRP00022,Bahawalnagar,Wah Cantt,419,Non-AC,72,274.46,4.0,104.75,28749.68,1466.5,0,838.0,1500,4521.41,32554.18,45214.14,12659.96
TRP00023,Lahore,Okara,534,Non-AC,72,296.6,4.0,133.5,39596.1,1869.0,0,1068.0,1500,6115.71,44033.1,61157.08,17123.98
TRP00024,Mandi Bahauddin,Dera Ghazi Khan,114,Non-AC,72,314.56,4.0,28.5,8964.96,399.0,0,228.0,1500,1540.55,11091.96,15405.5,4313.54
TRP00025,Faisalabad,Bahawalpur,467,Non-AC,72,278.7,4.0,116.75,32538.22,1634.5,0,934.0,1500,5084.27,36606.72,50842.67,14235.95
TRP00026,Gujrat,Rajanpur,469,Non-AC,72,272.48,4.0,117.25,31948.28,1641.5,0,938.0,1500,5003.86,36027.78,50038.58,14010.8
TRP00027,Bahawalnagar,Kot Addu,556,Non-AC,72,318.18,4.0,139.0,44227.02,1946.0,0,1112.0,1500,6775.7,48785.02,67756.97,18971.95
TRP00028,Jhang,Bahawalpur,241,Non-AC,72,283.71,4.0,60.25,17093.53,843.5,0,482.0,1500,2766.53,19919.03,27665.32,7746.29
TRP00029,Toba Tek Singh,Nankana Sahib,349,Non-AC,72,303.64,4.0,87.25,26492.59,1221.5,0,698.0,1500,4154.46,29912.09,41544.57,11632.48
TRP00030,Sheikhupura,Lodhran,350,Non-AC,72,265.31,4.0,87.5,23214.62,1225.0,0,700.0,1500,3699.95,26639.62,36999.47,10359.85
TRP00031,Hafizabad,Mandi Bahauddin,331,Non-AC,72,262.71,4.0,82.75,21739.25,1158.5,0,662.0,1500,3480.52,25059.75,34805.21,9745.46
TRP00032,Chakwal,Kasur,375,Non-AC,72,310.67,4.0,93.75,29125.31,1312.5,0,750.0,1500,4539.97,32687.81,45399.74,12711.93
TRP00033,Rangpur,Layyah,417,Non-AC,72,292.38,4.0,104.25,30480.61,1459.5,0,834.0,1500,4760.29,34274.11,47602.93,13328.82
TRP00034,Chowk Munda,Rahim Yar Khan,296,Non-AC,72,276.86,4.0,74.0,20487.64,1036.0,0,592.0,1500,3279.95,23615.64,32799.5,9183.86
TRP00035,Kot Addu,Bahawalnagar,459,Non-AC,72,276.56,4.0,114.75,31735.26,1606.5,0,918.0,1500,4966.63,35759.76,49666.33,13906.57
TRP00036,Kot Addu,Lodhran,236,Non-AC,72,308.13,4.0,59.0,18179.67,826.0,0,472.0,1500,2913.57,20977.67,29135.65,8157.98
TRP00037,Muzaffargarh,Layyah,144,Non-AC,72,260.94,4.0,36.0,9393.84,504.0,0,288.0,1500,1623.03,11685.84,16230.33,4544.49
TRP00038,Jhelum,Mandi Bahauddin,423,Non-AC,72,283.69,4.0,105.75,30000.22,1480.5,0,846.0,1500,4698.16,33826.72,46981.56,13154.84
TRP00039,Layyah,Sialkot,551,Non-AC,72,260.84,4.0,137.75,35930.71,1928.5,0,1102.0,1500,5619.61,40461.21,56196.12,15734.91
TRP00040,Attock,Hafizabad,578,Non-AC,72,302.41,4.0,144.5,43698.25,2023.0,0,1156.0,1500,6719.06,48377.25,67190.62,18813.37
TRP00041,Okara,Khushab,498,Non-AC,72,306.28,4.0,124.5,38131.86,1743.0,0,996.0,1500,5884.84,42370.86,58848.42,16477.56
